Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Performance Period Rate,Number of  Patients Included in Hypercalcemia Measure Score Performance Period,Number of Hypercalcemia Patient Months Performance Period,Hypercalcemia Baseline Period Rate,Number of Hypercalcemia Patient Months Baseline Period,Hypercalcemia Performance Score Applied,NHSN Measure Score,NHSN Performance Period  Rate,Total number of eligible NHSN Patients,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2016 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of ownership record update
FMC - BOLIVAR,262559,,,1145 N BUTTERFIELD,,BOLIVAR,MO,65613,12,10,0%,24,0%,28,Achievement,8,95%,38,241,94%,287,Achievement,9,94%,29,212,84%,163,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,3,56%,26,254,61%,294,Achievement,2,18%,31,234,19%,265,Achievement,2,6,2%,61,475,2%,537,Achievement,1,1.732,62,10,6,7,59,No Reduction,03/05/1998,FRESENIUS MEDICAL CARE,08/25/2014
RENEX DIALYSIS CLINIC OF MAPLEWOOD,262560,,,6512 MANCHESTER RD.,,SAINT LOUIS,MO,63139,12,10,0%,37,0%,37,Achievement,8,95%,46,435,94%,439,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,6,67%,40,441,65%,467,Achievement,9,4%,43,427,6%,437,Achievement,8,8,1%,57,517,1%,590,Achievement,4,1.080,85,10,8,9,79,No Reduction,03/06/1998,FRESENIUS MEDICAL CARE,01/02/1950
FLORISSANT DIALYSIS,262561,,,10887 W FLORISSANT RD,,FERGUSON,MO,63136,12,10,0%,80,0%,92,Achievement,10,98%,85,824,96%,860,Achievement,8,90%,12,107,92%,79,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,5,63%,80,886,55%,960,Achievement,7,7%,86,857,9%,817,Achievement,6,8,1%,106,970,2%,1163,Achievement,0,2.702,155,10,10,10,75,No Reduction,04/20/1998,DAVITA,01/02/1950
WASHINGTON SQUARE DIALYSIS,262562,,,1112 WASHINGTON SQUARE,,WASHINGTON,MO,63090,12,10,0%,43,0%,40,Achievement,10,98%,51,398,99%,341,Achievement,10,97%,16,62,96%,142,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,10,83%,46,435,78%,371,Achievement,8,6%,50,387,11%,352,Achievement,9,10,0%,86,545,0%,736,Achievement,0,2.828,101,10,10,10,82,No Reduction,04/13/1998,DAVITA,01/02/1950
FMC - POPLAR BLUFF,262563,,,2311 EUGENE BVLD.,,POPLAR BLUFF,MO,63901,12,10,0%,50,0%,55,Achievement,5,92%,71,559,89%,575,Achievement,N/A,Insufficient data,4,20,Insufficient data,23,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,1,48%,63,618,43%,640,Improvement,1,25%,68,570,28%,593,Improvement,1,8,1%,78,600,3%,717,Achievement,9,0.133,113,10,4,10,69,No Reduction,05/28/1998,FRESENIUS MEDICAL CARE,08/25/2014
DSI - KANSAS CITY RENAL CENTER,262564,,,4333 MADISON AVE,,KANSAS CITY,MO,64111,12,0,3%,78,0%,83,Achievement,4,90%,83,643,91%,703,Achievement,10,96%,24,185,95%,177,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,5,6,67%,73,723,62%,757,Achievement,6,10%,78,660,7%,721,Achievement,6,8,1%,117,943,1%,1125,Achievement,3,1.280,143,10,9,10,55,No Reduction,08/04/1988,DAVITA,01/02/1950
BARNES JEWISH DIALYSIS CENTER,262565,,,4205 FOREST PARK AVE.,,SAINT LOUIS,MO,63108,12,10,0%,158,0%,150,Achievement,10,98%,129,1234,96%,1140,Achievement,3,76%,69,537,69%,506,Achievement,N/A,Insufficient data,1,2,Insufficient data,0,N/A,8,2,54%,148,1516,59%,1430,Achievement,3,16%,162,1468,15%,1370,Achievement,3,8,1%,247,2065,1%,2407,Achievement,1,1.676,179,10,5,10,65,No Reduction,03/09/1998,NOT A CHAIN,05/25/2002
ST CHARLES DIALYSIS,262568,,,2125 BLUESTONE DR.,,SAINT CHARLES,MO,63303,12,10,0%,15,0%,23,Achievement,6,93%,30,190,92%,221,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,0,48%,18,187,45%,235,Achievement,9,4%,18,177,7%,215,Achievement,5,10,0%,22,172,0%,254,Achievement,0,3.742,79,N/A,8,10,67,No Reduction,08/10/1998,DAVITA,01/03/1950
JEFFERSON COUNTY DIALYSIS CENTER,262569,,,"1301 YMCA DR., #200",,FESTUS,MO,63028,12,10,0%,33,0%,31,Achievement,9,97%,43,345,95%,350,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,4,61%,37,381,74%,384,Achievement,3,15%,42,357,9%,349,Achievement,3,3,4%,49,397,5%,492,Achievement,5,0.964,73,10,8,10,70,No Reduction,10/14/1998,FRESENIUS MEDICAL CARE,01/03/1950
"DIALYSIS CLINICS, INC - BOONVILLE",262570,,,16895 RANKIN MILL RD.,,BOONVILLE,MO,65233,12,10,0%,17,0%,17,Achievement,10,98%,25,204,98%,171,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,3,58%,20,209,69%,180,Achievement,0,20%,23,202,14%,159,Achievement,1,8,1%,26,208,0%,248,Achievement,8,0.366,41,10,10,10,80,No Reduction,01/06/1999,"DIALYSIS CLINIC, INC.",01/03/1950
SHREWSBURY DIALYSIS,262572,,,7303 WATSON ROAD SUITE 7,,SAINT LOUIS,MO,63119,12,10,0%,33,0%,32,Achievement,10,98%,36,273,99%,332,Achievement,N/A,Insufficient data,7,51,Insufficient data,39,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,6,67%,30,309,71%,349,Achievement,7,7%,33,291,8%,338,Achievement,7,6,2%,58,433,1%,520,Achievement,1,1.727,66,10,10,10,76,No Reduction,03/29/1999,DAVITA,01/02/1950
"DIALYSIS CLINICS, INC - MOBERLY",262573,,,1511 UNION AVE.,,MOBERLY,MO,65270,12,10,0%,29,0%,30,Achievement,7,94%,37,298,92%,300,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,3,57%,35,351,65%,348,Achievement,0,20%,35,316,11%,318,Achievement,2,8,1%,34,256,2%,320,Achievement,10,0,57,10,9,10,79,No Reduction,04/13/1999,"DIALYSIS CLINIC, INC.",01/02/1950
SOUTH COUNTY DIALYSIS CENTER,262574,,,4145 UNION ROAD,,SAINT LOUIS,MO,63129,12,10,0%,31,0%,27,Achievement,9,97%,42,251,97%,251,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,8,71%,39,340,73%,307,Achievement,8,5%,43,297,4%,272,Achievement,8,5,3%,43,313,1%,368,Achievement,0,2.794,67,10,3,10,68,No Reduction,05/01/1999,DAVITA,01/02/1950
"DIALYSIS CLINICS, INC - JEFFERSON CITY EAST",262575,,,1916 BOGGS CREEK ROAD,,JEFFERSON CITY,MO,65101,12,10,0%,27,0%,33,Achievement,7,94%,30,244,94%,254,Achievement,9,94%,20,103,86%,159,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,9,74%,29,300,67%,302,Achievement,10,2%,29,282,4%,270,Achievement,10,5,3%,51,401,1%,497,Achievement,2,1.429,61,10,10,10,79,No Reduction,08/20/1999,"DIALYSIS CLINIC, INC.",01/02/1950
ST. JOSEPH DIALYSIS,262576,,,5514 CORPORATE DR SUITE 100,,SAINT JOSEPH,MO,64507,12,10,0%,110,0%,103,Achievement,8,96%,134,1007,97%,939,Achievement,10,98%,27,211,98%,237,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,2,53%,124,1190,58%,1068,Achievement,8,5%,129,1087,3%,996,Achievement,5,8,1%,163,1271,0%,1451,Achievement,4,1.095,223,10,10,10,77,No Reduction,09/01/1999,DAVITA,09/01/1999
"DIALYSIS CLINICS, INC - BELTON",262577,,,17045 S 71 HWY,,BELTON,MO,64012,12,10,0%,24,0%,22,Achievement,9,97%,30,275,98%,266,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,10,81%,26,277,74%,261,Achievement,8,5%,26,260,6%,251,Achievement,9,6,2%,30,238,1%,279,Achievement,6,0.610,50,10,6,10,83,No Reduction,07/20/1999,"DIALYSIS CLINIC, INC.",01/02/1950
CAMERON DIALYSIS,262578,,,1003 W 4TH,,CAMERON,MO,64429,12,10,0%,15,0%,15,Achievement,7,94%,22,165,96%,156,Achievement,N/A,Insufficient data,2,22,Insufficient data,55,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,8,73%,17,164,51%,156,Achievement,7,8%,20,151,9%,150,Achievement,7,10,0%,20,179,0%,231,Achievement,6,0.784,36,N/A,10,10,84,No Reduction,09/01/1999,DAVITA,01/04/1950
FMC - CHOUTEAU,262579,,,"4030 CHOUTEAU AVE, 1ST FLOOR",,SAINT LOUIS,MO,63110,12,10,0%,37,3%,36,Achievement,8,95%,53,466,94%,455,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,3,58%,44,471,58%,477,Achievement,4,14%,45,448,7%,432,Achievement,4,0,8%,54,447,7%,525,Achievement,0,3.435,81,10,9,10,60,No Reduction,11/01/1999,FRESENIUS MEDICAL CARE,08/25/2014
CHILLICOTHE DIALYSIS,262580,,,588 E BUSINESS 36,,CHILLICOTHE,MO,64601,12,10,0%,27,0%,31,Achievement,6,93%,33,249,91%,286,Achievement,N/A,Insufficient data,6,58,Insufficient data,31,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,0,49%,29,293,48%,328,Achievement,9,4%,32,271,12%,291,Achievement,5,5,3%,36,268,2%,384,Achievement,3,1.288,49,10,10,10,69,No Reduction,04/26/2000,DAVITA,08/18/2009
DSI - MARSHALL RENAL CENTER,262581,,,359 WEST MORGAN,,MARSHALL,MO,65340,12,10,0%,18,0%,22,Achievement,10,98%,25,206,99%,212,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,7,69%,20,210,69%,228,Achievement,8,5%,20,208,8%,213,Achievement,8,10,0%,28,206,0%,259,Achievement,4,1.140,44,10,9,10,86,No Reduction,05/22/2000,DAVITA,06/12/2015
SAINT LOUIS WEST DIALYSIS,262583,,,400 NORTH LINDBERG BOULEVARD,,SAINT LOUIS,MO,63141,12,10,0%,60,0%,61,Achievement,9,97%,83,691,97%,694,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,8,72%,72,739,72%,781,Achievement,9,4%,76,689,7%,742,Achievement,9,8,1%,79,623,0%,919,Achievement,0,2.142,143,10,10,10,79,No Reduction,06/26/2000,DAVITA,01/03/1950
FMC - MOUNTAIN GROVE,262584,,,1200 N MAIN  SUITE #2,,MOUNTAIN GROVE,MO,65711,12,10,0%,34,0%,32,Achievement,7,94%,39,315,95%,305,Achievement,10,97%,20,155,94%,173,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,62%,34,330,65%,323,Achievement,8,6%,35,304,11%,294,Achievement,7,8,1%,57,419,3%,495,Achievement,10,0,61,10,5,6,82,No Reduction,08/16/2000,FRESENIUS MEDICAL CARE,08/25/2014
SAINT LOUIS WEST PD DIALYSIS,262585,,,9632 OLIVE BLVD,,SAINT LOUIS,MO,63132,12,10,0%,18,0%,20,Achievement,N/A,Insufficient data,4,4,Insufficient data,0,N/A,9,94%,12,89,94%,140,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,7,69%,14,145,76%,141,Achievement,10,1%,18,138,2%,125,Achievement,9,3,4%,37,295,2%,422,Achievement,N/A,Insufficient data,5,N/A,5,10,80,No Reduction,06/26/2000,DAVITA,01/02/1950
FMC - LEBANON,262587,,,331 HOSPITAL DRIVE  SUITE F,,LEBANON,MO,65536,12,10,0%,36,0%,32,Achievement,8,96%,51,404,95%,348,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,6,67%,40,404,53%,359,Achievement,8,5%,41,375,13%,323,Achievement,7,10,0%,53,415,1%,469,Achievement,4,1.123,94,10,9,10,81,No Reduction,11/30/2000,FRESENIUS MEDICAL CARE,08/25/2014
DSI - BUTLER RENAL CENTER,262588,,,601 W NURSERY,,BUTLER,MO,64730,12,N/A,Insufficient data,10,0%,13,N/A,8,96%,20,116,93%,204,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,6,66%,16,139,71%,194,Achievement,10,2%,19,128,4%,201,Achievement,8,10,0%,15,100,0%,202,Achievement,10,0,26,N/A,10,10,92,No Reduction,12/13/2000,DAVITA,06/10/2015
HAZELWOOD DIALYSIS,262589,,,637 DUNN ROAD #125,,HAZELWOOD,MO,63042,12,10,0%,37,2%,43,Achievement,8,96%,61,453,97%,493,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,4,59%,45,462,61%,514,Achievement,7,8%,51,446,11%,482,Achievement,6,10,0%,62,477,1%,589,Achievement,0,2.066,114,10,10,10,74,No Reduction,08/17/2001,DAVITA,01/02/1950
FMC -LETHOLT DIALYSIS CENTER,262590,,,906 WOLLARD BLVD,,RICHMOND,MO,64085,12,10,0%,32,0%,24,Achievement,8,96%,39,375,98%,313,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,77%,37,391,76%,331,Achievement,9,4%,38,368,4%,307,Achievement,9,5,3%,48,380,1%,384,Achievement,4,1.094,53,10,10,10,80,No Reduction,11/09/2001,FRESENIUS MEDICAL CARE,01/02/1950
CRESTWOOD DIALYSIS,262591,,,9560 WATSON ROAD,,SAINT LOUIS,MO,63126,12,10,0%,25,0%,24,Achievement,8,95%,34,247,97%,253,Achievement,N/A,Insufficient data,3,30,Insufficient data,46,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,63%,27,268,62%,265,Achievement,10,0%,29,250,3%,247,Achievement,8,8,1%,34,258,0%,351,Achievement,0,2.965,62,10,8,10,74,No Reduction,03/18/2002,DAVITA,05/25/2002
"DIALYSIS CLINIC, INC - CLINTON",262592,,,1662 N 2ND STREET,,CLINTON,MO,64735,12,10,0%,16,0%,16,Achievement,10,99%,22,203,100%,211,Achievement,N/A,Insufficient data,1,7,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,7,69%,19,207,75%,213,Achievement,5,11%,20,201,5%,202,Achievement,6,10,0%,24,216,0%,291,Achievement,10,0,39,10,9,10,93,No Reduction,10/19/2001,"DIALYSIS CLINIC, INC.",01/04/1950
ST LOUIS RENAL CARE - FOREST PARK,262593,,,1400 STRASSNER,,SAINT LOUIS,MO,63144,12,10,0%,35,0%,37,Achievement,6,93%,49,414,89%,452,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,6,3,57%,44,438,48%,447,Achievement,6,10%,47,402,8%,429,Achievement,5,0,7%,46,355,6%,436,Achievement,3,1.391,62,10,8,10,62,No Reduction,04/01/2002,FRESENIUS MEDICAL CARE,04/02/2002
FMC - DES PERES,262594,,,2325 DOUGHERTY FERRY RD - SUITE 103,,SAINT LOUIS,MO,63122,12,10,0%,16,0%,16,Achievement,7,94%,22,148,88%,143,Achievement,N/A,Insufficient data,8,75,Insufficient data,75,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,7,68%,18,162,66%,137,Achievement,8,5%,17,133,7%,130,Achievement,7,5,3%,31,231,1%,239,Achievement,6,0.640,37,N/A,5,6,67,No Reduction,04/01/2002,FRESENIUS MEDICAL CARE,04/09/2015
FMC DIALYSIS SERVICES OF RAYTOWN,262595,,,11503 E 63RD ST,,RAYTOWN,MO,64133,12,10,0%,19,0%,22,Achievement,4,90%,37,248,88%,255,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,8,72%,28,274,59%,280,Achievement,7,8%,33,245,19%,246,Achievement,7,0,7%,36,265,3%,349,Achievement,10,0,67,10,1,10,67,No Reduction,05/20/2002,FRESENIUS MEDICAL CARE,05/21/2002
PLATTE WOODS DIALYSIS,262596,,,7667 NW PRAIRIE VIEW RD,,KANSAS CITY,MO,64151,12,10,0%,44,0%,38,Achievement,8,95%,76,501,97%,478,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,10,84%,54,525,80%,489,Achievement,7,8%,57,472,4%,457,Achievement,8,10,0%,66,479,0%,551,Achievement,10,0,119,10,10,10,94,No Reduction,10/01/2002,DAVITA,10/02/2008
ST LOUIS RENAL CARE - MIDTOWN,262597,,,5901 DELMAR BLVD,,SAINT LOUIS,MO,63112,12,N/A,Insufficient data,0,0%,34,N/A,8,96%,25,25,89%,330,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,N/A,Insufficient data,0,0,53%,344,N/A,N/A,Insufficient data,0,0,10%,318,N/A,N/A,N/A,Insufficient data,0,0,1%,375,N/A,0,Not Reported,32,N/A,N/A,N/A,No Score Calculated,No Reduction,12/15/2002,FRESENIUS MEDICAL CARE,04/02/2015
ST PETERS DIALYSIS,262599,,,300 1ST EXECUTIVE AVE #A,,SAINT PETERS,MO,63376,12,10,0%,30,0%,25,Achievement,8,96%,49,330,98%,315,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,7,68%,39,354,73%,323,Achievement,7,7%,38,307,4%,290,Achievement,7,8,1%,47,362,0%,447,Achievement,2,1.477,122,10,7,10,74,No Reduction,02/12/2003,DAVITA,05/10/2005
FMC DIALYSIS SERVICES OF LINCOLN COUNTY,262600,,,"9 LINCOLN CENTER, HWY 47, #A",,TROY,MO,63379,12,10,0%,20,0%,20,Achievement,8,96%,30,273,94%,259,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,5,62%,28,294,59%,271,Achievement,10,2%,29,267,1%,238,Achievement,8,5,3%,37,297,3%,325,Achievement,1,1.720,47,10,6,10,70,No Reduction,02/14/2003,FRESENIUS MEDICAL CARE,02/15/2003
"METRO ST LOUIS DIALYSIS CENTER, LLC",262603,,,10160 W FLORISSANT,,SAINT LOUIS,MO,63136,12,10,0%,34,0%,39,Achievement,9,97%,66,587,96%,647,Achievement,N/A,Insufficient data,2,24,Insufficient data,36,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,0,47%,57,613,47%,652,Achievement,4,14%,62,596,12%,631,Achievement,2,8,1%,55,449,0%,593,Achievement,10,0,80,10,10,10,83,No Reduction,07/30/2003,NOT A CHAIN,07/31/2003
BRANSON DIALYSIS,262605,,,101 SKAGGS RD #301,,BRANSON,MO,65616,12,10,0%,57,0%,48,Achievement,3,89%,144,536,87%,498,Achievement,9,94%,30,244,92%,206,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,9,76%,56,544,73%,483,Achievement,7,8%,63,499,13%,445,Achievement,8,6,2%,98,732,4%,794,Achievement,N/A,N/A,N/A,10,10,10,78,No Reduction,12/20/2003,NOT A CHAIN,12/21/2003
RTC-LAMPLIGHTER DIALYSIS,262606,,,12654 LAMPLIGHTER SQUARE,,SAINT LOUIS,MO,63128,12,10,0%,48,0%,50,Achievement,9,97%,78,530,96%,572,Achievement,N/A,Insufficient data,8,71,98%,85,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,9,6,65%,57,561,64%,614,Achievement,7,8%,65,525,8%,571,Achievement,7,10,0%,85,636,0%,876,Achievement,7,0.459,162,10,10,10,89,No Reduction,12/19/2003,DAVITA,12/20/2003
RTC - HAMPTON AVENUE DIALYSIS,262607,,,1425 HAMPTON AVENUE,,SAINT LOUIS,MO,63139,12,10,0%,36,0%,36,Achievement,8,96%,47,382,95%,396,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,4,61%,39,410,63%,405,Achievement,9,4%,43,384,5%,374,Achievement,7,8,1%,55,455,0%,550,Achievement,1,1.671,88,10,10,10,75,No Reduction,03/17/2004,DAVITA,03/18/2004
FMC - NIXA,262610,,,121 N MASSEY,,NIXA,MO,65714,12,10,0%,19,4%,28,Achievement,2,88%,53,248,88%,316,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,2,5,62%,25,226,65%,329,Achievement,10,1%,29,207,6%,305,Achievement,8,5,3%,32,210,7%,335,Achievement,4,1.161,116,10,6,10,66,No Reduction,09/07/2005,FRESENIUS MEDICAL CARE,08/25/2014
RTC COLUMBIA DIALYSIS,262611,,,1701 E BROADWAY SUITE G-102,,COLUMBIA,MO,65201,12,10,0%,27,0%,37,Achievement,4,90%,56,337,95%,340,Achievement,N/A,Insufficient data,0,0,83%,52,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,4,5,64%,36,348,66%,378,Achievement,5,11%,37,302,3%,348,Achievement,5,10,0%,42,297,2%,472,Achievement,5,1.001,94,10,10,10,74,No Reduction,09/08/2005,DAVITA,09/09/2005
FARMINGTON DIALYSIS CLINIC,262612,,,1370 W LIBERTY ST,,FARMINGTON,MO,63640,12,10,0%,49,0%,63,Achievement,8,94%,61,441,79%,505,Improvement,9,94%,20,141,23%,204,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,8,71%,50,488,70%,569,Achievement,7,7%,55,461,10%,535,Achievement,7,5,3%,71,523,Insufficient data,21,Achievement,4,1.138,98,10,3,10,71,No Reduction,06/13/2006,FRESENIUS MEDICAL CARE,06/14/2006
RAI CARE CENTER -HAMPTON,262614,,,2635 HAMPTON AVE,,SAINT LOUIS,MO,63139,12,10,0%,17,0%,17,Achievement,8,95%,26,212,92%,210,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,8,0,42%,21,223,44%,208,Achievement,5,12%,23,207,8%,196,Achievement,3,6,3%,27,239,9%,273,Improvement,5,0.885,46,10,5,10,69,No Reduction,07/14/2006,FRESENIUS MEDICAL CARE,07/12/2006
SOUTH TOWNE SQUARE DIALYSIS CLINIC,262615,,,11107 SOUTH TOWNE SQUARE,,SAINT LOUIS,MO,63123,12,10,0%,35,0%,35,Achievement,7,94%,45,363,96%,385,Achievement,N/A,Insufficient data,5,36,Insufficient data,22,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,3,56%,41,399,54%,434,Achievement,0,22%,44,374,20%,397,Achievement,1,8,1%,69,512,3%,557,Achievement,5,0.917,85,10,5,8,65,No Reduction,07/14/2006,FRESENIUS MEDICAL CARE,06/10/2015
FRESENIUS MEDICAL SERVICES O FALLON,262616,,,4663 HIGHWAY K,,OFALLON,MO,63368,12,N/A,Insufficient data,10,Insufficient data,9,N/A,3,89%,17,111,84%,106,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,3,2,53%,13,118,77%,104,Achievement,8,6%,15,107,7%,96,Achievement,5,10,0%,16,103,4%,137,Achievement,0,4.842,37,N/A,8,10,52,0.5%,08/28/2006,FRESENIUS MEDICAL CARE,08/29/2006
DSI - LEE'S SUMMIT RENAL CENTER,262617,,,100 NE MISSOURI RD SUITE 100,,LEES SUMMIT,MO,64086,12,0,2%,49,0%,51,Achievement,7,94%,68,434,95%,485,Achievement,9,93%,15,124,94%,126,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,6,67%,56,512,72%,546,Achievement,5,11%,64,458,5%,514,Achievement,5,10,0%,96,726,1%,942,Achievement,3,1.291,160,10,8,9,57,No Reduction,11/03/2006,DAVITA,11/04/2006
FMC - SOUTHEAST MISSOURI,262618,,,1723 BROADWAY STE # 105,,CAPE GIRARDEAU,MO,63701,12,10,0%,29,0%,37,Achievement,10,98%,47,398,92%,412,Achievement,N/A,Insufficient data,9,45,Insufficient data,64,N/A,N/A,Insufficient data,0,0,Insufficient data,0,N/A,10,4,59%,41,418,54%,438,Achievement,4,14%,45,397,24%,385,Achievement,4,5,3%,64,505,1%,558,Achievement,8,0.204,69,10,8,9,79,No Reduction,12/19/2006,FRESENIUS MEDICAL CARE,08/25/2014
FMC - TESSON FERRY DIALYSIS,262619,,,13134 TESSON FERRY ROAD,,SAINT LOUIS,MO,63128,12,10,0%,40,0%,37,Achievement,8,95%,47,386,93%,384,Achievement,3,76%,11,81,Insufficient data,58,Achievement,N/A,Insufficient data,0,0,Insufficient data,0,N/A,7,5,64%,38,399,55%,388,Achievement,9,3%,39,371,7%,376,Achievement,7,5,3%,71,630,1%,639,Achievement,3,1.331,87,10,6,9,70,No Reduction,05/30/2007,FRESENIUS MEDICAL CARE,05/31/2007
